vehicle,category,pool
5457,Vagn,BF4A
5458,Vagn,BF4A
5459,Vagn,BF4A
5460,Vagn,BF4A
5461,Vagn,BF4A
5462,Vagn,BF4A
5463,Vagn,BF4
5464,Vagn,BF4
5465,Vagn,BF4
5466,Vagn,BC4-P
5467,Vagn,BC4-P
5468,Vagn,BC4-P
5469,Vagn,BC4-P
5470,Vagn,BC4-P
5471,Vagn,BC4
5472,Vagn,BC4
5473,Vagn,BC4
5474,Vagn,BC4
5475,Vagn,BC4
5476,Vagn,BC4
5477,Vagn,BC4
5478,Vagn,BC4
5479,Vagn,BC4
5480,Vagn,BC4
5481,Vagn,BC4
5482,Vagn,B10
5483,Vagn,AB9M
5484,Vagn,B11
5485,Vagn,B11
5486,Vagn,B11
5487,Vagn,B11
5488,Vagn,B11
5489,Vagn,B11
5490,Vagn,B11
5491,Vagn,B11
5492,Vagn,B11
5493,Vagn,B11
5494,Vagn,B11
5495,Vagn,B11
5496,Vagn,B11
5497,Vagn,B7M
5498,Vagn,B7M
5499,Vagn,B7M
5500,Vagn,B7M
5501,Vagn,B7M
5502,Vagn,B7M
5503,Vagn,B7M
5504,Vagn,B7M
5505,Vagn,B7M
5506,Vagn,B7M
5507,Vagn,B7M
5508,Vagn,A7M
5509,Vagn,A7M
5510,Vagn,A7M
5511,Vagn,A7M
5512,Vagn,A7M
5513,Vagn,A7M
5514,Vagn,A7M
5515,Vagn,A7M
5516,Vagn,A7M
5517,Vagn,A7M
5518,Vagn,A7M
5519,Vagn,A11
5520,Vagn,A11
5521,Vagn,A11
5522,Vagn,A11
5523,Vagn,A11
5524,Vagn,A11
5526,Vagn,A11
5527,Vagn,A11
5528,Vagn,B2-P
5529,Vagn,B10
5530,Vagn,B10
5531,Vagn,B2-P
5532,Vagn,B10
5533,Vagn,B10
5534,Vagn,B10
5535,Vagn,B10
5536,Vagn,B10
5537,Vagn,B2-P
5538,Vagn,B10
5539,Vagn,B10
5540,Vagn,B10
5541,Vagn,B10
5542,Vagn,B2-P
5543,Vagn,AFM7
5544,Vagn,AFM7
5545,Vagn,AFM7
5546,Vagn,B10
5547,Vagn,B10
5548,Vagn,B10
5549,Vagn,B10
5550,Vagn,B10
5551,Vagn,B10
5552,Vagn,B10
5553,Vagn,B10
5554,Vagn,B10
5555,Vagn,B10
5556,Vagn,B10
5557,Vagn,B10
5558,Vagn,B10
5559,Vagn,B10
5560,Vagn,B10
5561,Vagn,B10
5562,Vagn,B10
5563,Vagn,B10
5564,Vagn,B10
5565,Vagn,B10
5566,Vagn,B10
5567,Vagn,B10
5568,Vagn,B10
5569,Vagn,B10
5570,Vagn,B2-P
5571,Vagn,B2-P
5572,Vagn,B2-P
5573,Vagn,B2-P
5574,Vagn,B2-P
5575,Vagn,B2-P
5576,Vagn,B7
5577,Vagn,S1
5578,Vagn,S1T
5579,Vagn,AB9
5580,Vagn,WL4-P
5581,Vagn,WL4-P
5582,Vagn,WL4-P
5583,Vagn,WL4-P
5584,Vagn,WL4-P
5585,Vagn,WL4
5586,Vagn,WL4
5587,Vagn,WL4
5588,Vagn,WL4
5589,Vagn,WL4
5590,Vagn,WL4
5591,Vagn,WL4
5592,Vagn,WL4
5593,Vagn,WL4
5594,Vagn,WL4
5595,Vagn,WL4
5596,Vagn,WL4
5597,Vagn,WL4
5598,Vagn,WL4
5599,Vagn,WL4
5600,Vagn,WL4
5601,Vagn,WL4
5602,Vagn,WL4
5603,Vagn,WL4
5604,Vagn,WL4
5605,Vagn,WL4
5606,Vagn,WL4
5607,Vagn,WL6-P
5608,Vagn,WL6-P
5609,Vagn,WL6-P
5610,Vagn,WL6-P
5611,Vagn,WL6-P
5612,Vagn,WL6-P
5613,Vagn,WL6-P
5614,Vagn,WL6-P
5615,Vagn,WL6-P
5616,Vagn,WL6-P
5617,Vagn,WL6-P
5618,Vagn,WL6-P
5619,Vagn,WL6-P
5620,Vagn,WL6-P
5621,Vagn,WL6-P
5622,Vagn,WL6-P
5623,Vagn,WL6-P
5624,Vagn,WL6-P
5625,Vagn,WL6-P
5626,Vagn,WL6-P
5627,Vagn,WL6
5628,Vagn,WL6
5629,Vagn,WL6
5630,Vagn,R7-P
5631,Vagn,R7-P
5632,Vagn,R7-P
5634,Vagn,R7-P
5635,Vagn,R7-P
5636,Vagn,R7-P
